domain,judge_flag,keywords,http30x,alexa,locate,registrar,email_suffix
hpcyk.cc,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.6001583531274742
dacf.cn,1,0.5,0.5,0.08976833976833977,0.5528488852188275,0.09933774834437085,0.5
ccuaoe.cc,4,0.5,0.5,0.08976833976833977,0.8159406414552417,0.4428341384863124,0.5230769230769231
jnfcse.com,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.5647249190938511
95588yb.cc,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.5997782705099778,0.6001583531274742
95533zr.cc,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.5997782705099778,0.6001583531274742
ccbepo.cc,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.5997782705099778,0.5647249190938511
zktecosz.com,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.4428341384863124,0.5230769230769231
fjteaw.cn,2,0.5,0.5,11.500959692898272,0.5528488852188275,0.5,0.6001583531274742
pay-pccb.cc,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.6001583531274742
jf95588e.com,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.6001583531274742
20030518.com,4,0.6,0.5,11.500959692898272,0.8159406414552417,0.5,0.6335697399527187
ccdcsu.cc,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.5997782705099778,0.5647249190938511
szagcbb.cc,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.5412371134020618,0.6001583531274742
ccdscb.com,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.6794117647058824,0.6001583531274742
15yc.com,1,0.5,0.5,0.08976833976833977,0.5528488852188275,0.7802912922218779,0.5
l0086nno.com,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.6794117647058824,0.5647249190938511
95588ut-icbc.com,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.5647249190938511
163xf.cc,1,0.5,0.5,11.500959692898272,0.8159406414552417,0.4428341384863124,0.5230769230769231
95533kkjs.cc,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.6001583531274742
ghbyfc.cc,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.5647249190938511
wevccb.com,2,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
payhdkg.com,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.6001583531274742
771288.com,2,0.7,0.5,11.500959692898272,0.8159406414552417,0.7992125984251969,0.6001583531274742
660669.com,2,0.6,0.5,11.500959692898272,0.5528488852188275,0.7992125984251969,0.6001583531274742
bhlngy.com,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.6001583531274742
ainmz.com,2,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
6644vns.com,2,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
insgeek.com,1,0.5,0.5,0.08976833976833977,0.8159406414552417,0.4428341384863124,0.5
wap-icbu.cc,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.5543766578249337
zgzyz.org.cn,4,0.5,0.5,0.08976833976833977,0.5528488852188275,0.5,0.5543766578249337
wrfpf.com,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.6794117647058824,0.5543766578249337
ccrbux.com,4,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
xmlsy.com,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.5412371134020618,0.6001583531274742
icbcfq-xyk.com,2,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
51baobaolifa.com,1,0.5,0.5,11.500959692898272,0.5528488852188275,0.5,0.5
cbansc.cc,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.43283582089552236,0.5647249190938511
icbcikn.com,2,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
wap-9s588.cc,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.5543766578249337
cbbasa.cc,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.43283582089552236,0.5543766578249337
btlaser.cn,2,0.5,0.5,11.500959692898272,0.5528488852188275,0.5,0.5543766578249337
